\_\_\_\_\_\_\_ is the national animal of Scotland.|Unicorn
Despite their long necks, \_\_\_\_\_\_\_\_ have the same number of neck bones as humans: just seven.|Giraffes
\_\_\_\_\_\_ are older than trees — they evolved around 450 million years ago, while trees only appeared about 350 million years ago.|Sharks
\_\_\_\_\_ actually has more ancient pyramids than Egypt — over 200 compared to Egypt's 138.|Sudan
Gentoo \_\_\_\_\_\_\_\_ propose by presenting their mate with a carefully chosen pebble — if she accepts, the pair bonds for life.|penguins
\_\_\_\_\_\_\_ has more saunas than cars — roughly 3.3 million saunas for a country of 5.5 million people.|Finland
A \_\_\_ on Venus lasts longer than a year on Venus — it rotates so slowly that one full spin takes 243 Earth days, but its orbit only takes 225.|day
\_\_\_\_ are one of the only mammals that can't taste sweetness — they completely lack the taste receptor gene for it.|Cats
\_\_\_\_\_\_\_\_\_\_ cannot stick out their tongues — the tongue is fused to the floor of their mouth.|Crocodiles
Every \_\_\_ you eat likely contains at least one dead wasp — they crawl inside to lay eggs and an enzyme dissolves the remains.|fig
\_\_\_\_\_\_\_\_\_\_\_\_ were invented in Belgium, not France — American soldiers stationed there in WWI named them after the French-speaking Belgians.|French fries
\_\_\_\_\_\_ hats are made in Ecuador, not Panama — they got the name because they shipped through Panama on the way to market.|Panama
A \_\_\_\_\_\_'s heart is located in its head.|shrimp
\_\_\_\_\_\_\_ originated as a fermented fish sauce called "kê-chiap" in Asia — the tomato version is less than 200 years old.|Ketchup
The world's shortest commercial flight lasts just 57 seconds, connecting two tiny islands in \_\_\_\_\_\_\_\_.|Scotland
Fresh \_\_\_\_\_\_\_\_\_\_\_ bounce like rubber balls — growers traditionally dropped them to separate the good ones from the bad.|cranberries
The color "\_\_\_\_\_\_" was named after the fruit — before oranges arrived in Europe, the color was just called "yellow-red."|orange
\_\_\_\_ can walk up a staircase but not back down — the way their knees bend makes descending nearly impossible.|Cows
Dolly the cloned sheep was named after Dolly \_\_\_\_\_\_ — the DNA came from a mammary gland cell, and the scientists thought that was funny.|Parton
\_\_\_\_\_\_\_\_\_ can only eat with their heads upside down — their beak is designed to filter food from that specific orientation.|Flamingos
A single \_\_\_\_\_\_\_\_\_ takes about two years to grow, and each plant only produces one fruit per cycle.|pineapple
The \_\_\_\_ is slowly drifting away from Earth at 3.8 cm per year — billions of years ago it was much closer and caused far more violent tides.|Moon
Humans are the only animals with a \_\_\_\_ — no other species has this protruding jaw structure, and scientists still aren't sure what it's for.|chin
The \_\_\_\_\_\_\_\_ effect — where drains supposedly spin differently in each hemisphere — is technically real but far too weak to affect toilets; that's a myth.|Coriolis
The first SMS text message ever sent, on December 3, 1992, simply said "Merry \_\_\_\_\_\_\_\_\_."|Christmas
\_\_\_\_ is technically the world's largest tire manufacturer — by volume, they produce more tiny plastic tires each year than any rubber company.|LEGO
A bolt of \_\_\_\_\_\_\_\_\_ is about five times hotter than the surface of the sun.|lightning
\_\_\_\_\_\_\_\_\_\_ can recognize individual human faces — they use the same holistic face-processing technique that humans use.|Honey bees
The word "\_\_\_\_\_" was coined in a 1920 Czech play — it comes from the Czech word for drudgery or forced labor.|robot
The first commercial \_\_\_ was the size of a piano and cost the equivalent of $50,000 today.|VCR
\_\_\_\_ is an acronym — Ingvar Kamprad (founder), Elmtaryd (his farm), Agunnaryd (his village).|IKEA
\_\_\_\_\_ are colorblind to red — they charge at the matador's cape because of the movement, not the color.|Bulls
\_\_\_\_\_\_ is a hallucinogen in large doses — it contains myristicin, a compound related to mescaline, and has sent people to the ER.|Nutmeg
A \_\_\_\_\_\_\_\_\_ can survive weeks without its head — it only dies eventually because without a mouth it can't drink water.|cockroach
"\_\_\_\_\_\_\_" is the longest common English word with no vowels (y doesn't count here).|rhythms
In a lion pride, it's the \_\_\_\_\_\_\_ who do most of the hunting — the males' main job is territory defense and looking impressive.|females
The inventor of the \_\_\_\_\_\_\_ had his ashes pressed into one after he died — as he had specifically requested.|Frisbee
\_\_\_\_\_\_ is the only continent with land in all four hemispheres — it straddles both the equator and the prime meridian.|Africa
\_\_\_\_ have been trained to detect certain cancers by smelling a patient's breath — with accuracy rates that sometimes exceed 90%.|Dogs
\_\_\_\_ are physically incapable of looking directly up at the sky — the shape of their spine makes it impossible.|Pigs
A \_\_\_\_\_\_\_\_\_ can only sting once — its barbed stinger rips from its body after use and the bee dies shortly after.|honey bee
The inventor of the \_\_\_ format insists it's pronounced "JIF" — like the peanut butter — not with a hard G.|GIF
A \_\_\_\_\_\_ named Cher Ami was awarded France's highest military honor in WWI after delivering a critical message while shot through the chest.|pigeon
Cleopatra's red \_\_\_\_\_\_\_\_ was made from crushed beetles — the same carmine dye is still used in cosmetics and food coloring today.|lipstick
In German, the "@" symbol is called a \_\_\_\_\_\_ tail ("Klammeraffe") — most languages have their own animal-based nickname for it.|monkey
Casino \_\_\_\_ are machined to tolerances of 0.0001 inches — even a microscopic imbalance would be enough for a skilled player to exploit.|dice
Play-Doh was originally sold as a \_\_\_\_\_\_\_\_\_ cleaner in the 1950s — its inventor's sister-in-law suggested it would work better as a children's toy.|wallpaper
Kellogg's Corn Flakes were invented by Dr. John Harvey Kellogg as a deliberately bland food meant to suppress \_\_\_\_\_\_ in patients at his sanitarium.|libido
\_\_\_\_\_\_\_\_\_\_\_ was originally patented as a textured wallpaper in 1957 — the inventors tried selling it as greenhouse insulation before it became packaging.|Bubble Wrap
The \_\_\_\_\_\_\_\_\_ oven was invented by accident in 1945 when engineer Percy Spencer noticed a chocolate bar in his pocket had melted while standing near a radar device.|microwave
